id,image_id,caption
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 13.,Dominancy of the Temple Image comparing to the site on the screen
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 14.,Dominancy of the locus on screen comparing to the Temple image
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 15.,The most memorable mode
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 16.,The screen captures of the Artemis statue taken by the interviewees
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 17.,"Most memorable modes: Realistic, Realistic X-Ray, and Artemis"
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 18.,Non-selected modes for memorability: Wireframe–Simple–Simple X-Ray
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 19.,Most memorable mode selection of those who have visited and not visited the Temple of Artemis before
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 20.,The map of screen capture locations
Digital Scholarship in the Humanities-1025,Digital Scholarship in the Humanities-1025-Figure 21.,One example of screen captures
Digital Scholarship in the Humanities-1026,Digital Scholarship in the Humanities-1026-Figure 1,The number of books borrowed (black) and books purchased (gray)
Digital Scholarship in the Humanities-1026,Digital Scholarship in the Humanities-1026-Figure 2,The number of borrowers (black) and buyers (gray)
Digital Scholarship in the Humanities-1026,Digital Scholarship in the Humanities-1026-Figure 3,"Female (black) and male (gray) buyers, 1926–1927, 1929–1930, and 1939"
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 1,Visual abstract
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 2,The text mining process for the proposed method
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 3,Frequency polygon of the result of the sentiment analysis performed using the first sentiment dictionary
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 4,The word cloud of the sentiment analysis result using the first sentiment dictionary
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 5,Frequency polygon of the result of the sentiment analysis performed using the second sentiment dictionary
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 6,The word cloud of the sentiment analysis result using the second sentiment dictionary
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 7,Word cloud regarding the results of sentiment analysis applied on 165 story texts
Digital Scholarship in the Humanities-1027,Digital Scholarship in the Humanities-1027-Figure 8,Comparison of frequently used emotion words and their incidence in stories
Digital Scholarship in the Humanities-1028,Digital Scholarship in the Humanities-1028-Figure 1,Wikidata-related presentations at ADHO annual conferences
Digital Scholarship in the Humanities-1028,Digital Scholarship in the Humanities-1028-Figure 2,Wikidata components described in the reviewed projects
Digital Scholarship in the Humanities-1029,Digital Scholarship in the Humanities-1029-Figure 1,An example of sentence alignment types
Digital Scholarship in the Humanities-1029,Digital Scholarship in the Humanities-1029-Figure 2,"LaBSE Encoder Model (Adapted from Feng et al., 2022)"
Digital Scholarship in the Humanities-1029,Digital Scholarship in the Humanities-1029-Figure 3,"Two-step alignment algorithm (a) top-k (k = 3) similarity matrix, (b) DP table for the first-step alignment, and (c) DP table for the second-step alignment"
Digital Scholarship in the Humanities-1029,Digital Scholarship in the Humanities-1029-Figure 4,Sentence alignment examples—Bertaligncos versus Bertalignmcos
Digital Scholarship in the Humanities-1029,Digital Scholarship in the Humanities-1029-Figure 5,Time required to align the Bible corpus
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 1,Scores along dimension 1
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 2,Scores along dimension 2
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 3,Scores along dimension 3
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 4,Scores along dimension 4
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 5,Scores along dimension 5
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 6,Scores along dimension 6
Digital Scholarship in the Humanities-1033,Digital Scholarship in the Humanities-1033-Figure 7,Correlogram between six dimensions in Amy Tan’s novels
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 1,Two syntactic networks extracted from sentences in Example 1 (The left network graph is obtained from natural conversation. The right graph is with elliptical sites added.)
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 2,"An example sentence of syntactic annotation by dependency grammar. (The meanings of the abbreviations of the parts of speeches in the figure are: r refers to pronoun; d, adverbs; v, verbs; usde, Chinese auxiliary word ‘的(de)’; n, noun; bjd, end-of-sentence punctuation. Implications of the dependency types in the figure are: subj refers to the subject relationship; obj, object relationship; adva, adverbial relationship; atr, attributive relationship; dec, the structural complement of the Chinese auxiliary word ‘的(de)’; s, predicate symbol; punct, punctuation.)"
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 3,Global network graphs of Net1 (left) and Net2 (right)
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 4,A simple network graph with P3 as its central vertex
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 5,A sample graph of the k-shell decomposition process
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 6,The 3D surface plots of vertices in Net1 (left) and Net2 (right) in each core
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 7,The distributions of k-cores in Net1(left) and Net2(right)
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 8,The cumulative degree distributions of Net1 (left) and Net2 (right)
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 9,The degree distributions of random-Net1 (left) and random-Net2 (right)
Digital Scholarship in the Humanities-1035,Digital Scholarship in the Humanities-1035-Figure 10,The comparison of the ratios (R) between Net1 and Net2. R refers to the ratio of the number of connected vertex pairs with distance d to the number of connected vertex pairs in the entire network
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 1,"Overview of the linguistic model (please, refer to https://www.w3.org/2016/05/ontolex/ for a detailed overview)."
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 2,"Graphical representation of a concept entry in SKOS (Reineke and Romary, 2019)."
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 3,An example of SKOS in conjunction with OntoLex-Lemon.
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 4,Swagger of LexO-server.
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 5,The EpiLexO GUI.
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 6,GUI of the lexicon graph tool.
Digital Scholarship in the Humanities-1036,Digital Scholarship in the Humanities-1036-Figure 7,GUI of the linguistic-based text search system.
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 1,A framework for the smart museum in China
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 2,"Multispectral image analyses: (a–d) different spectral images, (e–m) the distribution of different pigments in the digital simulation, and (n) multispectral image standards used in the analysis of the pigment samples"
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 3,"XRF analysis of point location, KLT of the spectral image, and digital restoration"
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 4,The intelligent management platform for curatorship
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 5,Visitor big data analysis interface
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 6,The illustrated timeline of Dong Qichang
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 7,The transformation from the panting into the 3D game
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 8,The evolution of a smart museum in China
Digital Scholarship in the Humanities-1037,Digital Scholarship in the Humanities-1037-Figure 9,A New Framework of the Future Smart Museum
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 1,Extract from the catalogue for the Salon of 1849 (highlights added)
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 2,"Proportion of critics using the term ‘titre’ or its equivalents in their Salon reviews, 1780s and 1790s to 1860s and 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 3,"Proportion of Salon catalogue entries used to refer to more than one object, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 4,"Proportion of Salon catalogue main entries including a reference to the physical object or to the medium or type of work, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 5,"Proportion of Salon catalogue main entries beginning with the indefinite article, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 6,"Proportion of all main entries for single oil paintings of length ten or more words, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 7,"Proportion of entries with supporting explicative text, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 8,"Proportion of entries having one or more indicators of use for description or classification, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 9,"Proportion of Salon catalogue main entries for single oil paintings of length three words or fewer, 1790s to 1870s"
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 10,Extract from the catalogue for the Salon of 1808
Digital Scholarship in the Humanities-1038,Digital Scholarship in the Humanities-1038-Figure 11,Extract from the catalogue for the Salon of 1879
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 1,"The start of the ES, before and after phonetic transformation."
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 2,How does the classification accuracy change as the minimum poem size in the corpus increases? A comparison using four different algorithms. (a) Accuracy by Author. (b) Accuracy by Work.
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 3,"Confusion matrix, mean of 100 trials. Entries show the percentage of times that a y-axis work was classified as the given x-axis work. Classifier is scikit-learn NearestCentroid() using an 80/20 test/train split. Training data is TF-IDF transformed 2-, 3-, and 4-gram frequencies for each work, reduced to fifty dimensions with SVD."
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 4,"Cluster analysis of the LSA data (dimension = 50), showing lexico-grammatical style. (a) Bootstrap Consensus Tree. Aggregated kNN (k = 3, metric=cosine) data from 500 subsets of 15 features. Layout via Fruchterman-Reingold, thicker edges are stronger links. (b) UMAP Projection (metric = Euclidean). (c) t-SNE Projection (metric=Euclidean, perplexity = 10)."
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 5,How does the classification accuracy change as the minimum poem size in the corpus increases? A comparison using four different algorithms. (a) Accuracy by Author. (b) Accuracy by Work.
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 6,"Confusion matrix, mean of 100 trials. Entries show the percentage of times that a y-axis work was classified as the given x-axis work. Classifier is scikit-learn NearestCentroid() using an 80/20 test/train split."
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 7,"Cluster analysis of the z-scaled data (43 features), showing poetic style. (a) Bootstrap Consensus Tree. Aggregated kNN (k = 3, metric = cosine) data from 500 subsets of 15 features. Layout via Fruchterman–Reingold, thicker edges are stronger links. Heroides enlarged and numbered, works by Propertius numbered by Book. (b) UMAP Projection (metric = Euclidean). (c) t-SNE Projection (metric = Euclidean, perplexity = 12)."
Digital Scholarship in the Humanities-1039,Digital Scholarship in the Humanities-1039-Figure 8,"Progression of the prosodic style of the Heroides showing the comparative similarity to either the Amores (early style) or Ex Ponto (late style). In gray: a GAM trendline with 95% confidence interval. (a) SVM (relative confidence margins, based on distance from respective hyperplanes). (b) Nearest centroid (Euclidean distance)."
Digital Scholarship in the Humanities-1041,Digital Scholarship in the Humanities-1041-Figure 1,"An alignment of the Divan Hafez (ID 1389), showing parts of the translations that were totally absent in the original Persian text. Below: An alignment of the Divan Hafez ( Url: https://ugarit.ialigner.com/text.php?id=1389 and https://ugarit.ialigner.com/text.php?id=1376), showing parts of both texts that had no correspondence in the other one."
Digital Scholarship in the Humanities-1041,Digital Scholarship in the Humanities-1041-Figure 2,Example of a summarized fragment from the Fragmenta Historicorum Graecorum (https://ugarit.ialigner.com/text.php?id=30920).
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 1,‘Buddha’ around upper arm and shoulder and ‘Tiger’ on right ribcage
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 2,Body parts from which the photos of tattoos taken
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 3,Tattoos at different distances
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 4,Distance and social intimacy
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 5,Horizontal angle and involvement
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 6,Vertical angle and power
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 7,Gaze and image act
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 8 An example of “offer”., 
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 9,Depiction styles and distribution
Digital Scholarship in the Humanities-1043,Digital Scholarship in the Humanities-1043-Figure 10,An tattoo being lit
Digital Scholarship in the Humanities-1044,Digital Scholarship in the Humanities-1044-Figure 1,Constructing the character network based on the original literary text according to the ‘who-talked-after-whom’ heuristic.
Digital Scholarship in the Humanities-1044,Digital Scholarship in the Humanities-1044-Figure 2,"Character network diagram of Love and Intrigue based on binary directed data (the size and color of the nodes reflect the interconnectedness of the characters, with larger nodes and darker colors indicating more-connected characters.)"
Digital Scholarship in the Humanities-1044,Digital Scholarship in the Humanities-1044-Figure 3,Character network diagram of Love and Intrigue based on valued directed data.
Digital Scholarship in the Humanities-1044,Digital Scholarship in the Humanities-1044-Figure 4,Cluster analysis (K = 3) results by α value.
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 1,Comparison of the annotation of a patch from the Napoleonic cadastre of Venice (1808). (A) Original image. (B) Vector annotation of the polygons through a web-interface. (C) Pixel level annotation through a graphics editor
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 2,"Problems anticipated during the annotation of the 1900 Atlas of Paris. (A) Document degradation impacting the image quality. (B) Multiplication of context-specific objects (lamps, benches, barriers, pillars, etc.) and presence of non-delineating lines (tramway). (C) Superposition of several indistinct temporal layers drawn on the same image"
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 3,"Excerpt from the collaborative annotations of the renovated cadastre of Neuchatel (1872). In magenta the built, in green the non-built, in beige the road network, in purple the stairs, and in black the contours. (A and B) Conflict in the annotation of sidewalks, annotated as non-built (green) in A, and as road network (beige) in B. (C and D) Conflict in the annotation of fountain walls, annotated as building (magenta) in C, and as edges (black) in D"
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 4,"Excerpt from the collaborative annotations, and semantic segmentation prediction, of the renovated cadastre of Neuchatel (1872). (A) In purple, the specialized stairs class. (B) Also in purple the quay walls, falsely predicted as stairs by the neural network. (C and D) Conflict in the annotation of the walls and parcel boundaries (white), annotated as a triple line in C and as a simple line in D"
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 5,"Result of the semantic segmentation prediction for the Melotte cadastre of Lausanne (1721–27). In warm tones, the buildings (including the private houses in carmine, the church in purple, and the walls in orange), in beige the road network, and in green the non-built. The arrow points to an example of misclassification between a wall and a street"
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 6,Venice flooded: example of confusion between the road network (transparent) and water (blue) during vectorization. Modified from Oliveira et al. (2019)
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 7,"Result of the automatic vectorization of the Berney cadaster of Lausanne (1827–31). In magenta the buildings, in beige the road network, in green the non-built, and in blue the water. Yellow continuous arrows point to objects duplicated at the boundary of two cadastral sheets while dashed arrows point to gaps observed between two cadastral sheets due to sources inconsistencies."
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 8,"The Napoleonic cadastre of Venice (1808), after manual correction of the automatically extracted vector layers"
Digital Scholarship in the Humanities-1045,Digital Scholarship in the Humanities-1045-Figure 9,Example of an ontology not sufficiently sticking to visual cues. The topological and morphological differences between vineyard and non-built are insufficient to discriminate between both classes during inference
