,X,id,title,date,authors,affiliations,doi,journal
24,24,llc-24,"Corpus Linguistics and the Web.Marianne Hundt, Nadja Nesselhauf and Carolin Biewer (eds).",2008,Kim Luyckx,"Luyckx, Kim:University of Antwerp, Belgium",https://doi.org/10.1093/llc/fqn001,LLC
25,25,llc-25,Digital Heritage: Applying Digital Imaging to Cultural Heritage.Lindsay MacDonald (ed.).,2008,Melissa Terras,"Terras, Melissa:School of Library, Archive and Information Studies, University College London, UK",https://doi.org/10.1093/llc/fqn002,LLC
26,26,llc-26,Interpreting Burrows's Delta: Geometric and Probabilistic Foundations,2008,Shlomo Argamon,"Argamon, Shlomo:Department of Computer Science, Illinois Institute of Technology, Chicago",https://doi.org/10.1093/llc/fqn003,LLC
27,27,llc-27,"Corpus Tools and Methods, Today and Tomorrow: Incorporating Linguists’ Manual Annotations",2008,Nicholas Smith; Sebastian Hoffmann; Paul Rayson,"Smith, Nicholas:School of English, Sociology, Politics &amp; Contemporary History, University of Salford, Manchester, UK;  Hoffmann, Sebastian:Department of Linguistics &amp; English Language, Lancaster University, Lancaster, UK;  Rayson, Paul:Department of Computing, Lancaster University, Lancaster, UK",https://doi.org/10.1093/llc/fqn004,LLC
28,28,llc-28,"Working Papers, Open Access, and Cyber-infrastructure in Classical Studies",2008,David Pritchard,"Pritchard, David:Department of Classics and Ancient History, School of Philosophical and Historical Inquiry, The University of Sydney, Australia",https://doi.org/10.1093/llc/fqn005,LLC
29,29,llc-29,From First Person to Second Person,2008,Marc Ruppel,"Ruppel, Marc:Department of Textual and Digital Studies, University of Maryland, USA",https://doi.org/10.1093/llc/fqn006,LLC
30,30,llc-30,Geographic Variation in Acadian French /r /: What Can Correspondence Analysis Contribute Toward Explanation?,2006,Wladyslaw Cichocki,"Cichocki, Wladyslaw:University of New Brunswick, Canada",https://doi.org/10.1093/llc/fql032,LLC
31,31,llc-31,Art and Science in Computational Dialectology,2006,William A. Kretzschmar,"Kretzschmar, William A.:University of Georgia, Athens, GA, USA",https://doi.org/10.1093/llc/fql033,LLC
32,32,llc-32,Reports from Colloquia at Tübingen,1997,D. Kottke,"Kottke, D.:None",https://doi.org/10.1093/llc/12.1.45,LLC
33,33,llc-33,News and Notes,1997,Jenny Parsons,"Parsons, Jenny:University of Hull  CTI CML and the TELL Consortium",https://doi.org/10.1093/llc/12.1.61,LLC
34,34,llc-34,Book Reviews,1997,Michel Juillard,"Juillard, Michel:CNRS University of Nice-Sophia Antipolis  France",https://doi.org/10.1093/llc/12.1.64,LLC
35,35,llc-35,Book Reviews,1997,R. H. Baayen,"Baayen, R. H.:Max Planck Institute for Psycholinguistics  Nijmegen",https://doi.org/10.1093/llc/12.1.65,LLC
36,36,llc-36,Book Reviews,1997,Jan-Mirko Maczewski,"Maczewski, Jan-Mirko:(Universitat Gottingen)",https://doi.org/10.1093/llc/12.1.67,LLC
37,37,llc-37,Union and separation in Edgar Allan Poe,1997,J Laffal,"Laffal, J:Yale University, USA Correspondence to: One River Road, Essex, CT 06426, USA",https://doi.org/10.1093/llc/12.1.1,LLC
38,38,llc-38,Change points: ageing and content words in large a database,1997,PA Fortier; KJ Keen; J Fortier,"Fortier, PA:None;  Keen, KJ:None;  Fortier, J:None",https://doi.org/10.1093/llc/12.1.15,LLC
39,39,llc-39,English-to-Korean machine translation and anaphor resolution,1997,R Mitkov; K-H Lee; H Kim; K-S Choi,"Mitkov, R:None;  Lee, K-H:None;  Kim, H:None;  Choi, K-S:None",https://doi.org/10.1093/llc/12.1.23,LLC
40,40,llc-40,A spelling corrector for Basque based on morphology,1997,I Aduriz; M Urkia; I Alegria; X Artola; N Ezeiza; K Sarasola,"Aduriz, I:None;  Urkia, M:None;  Alegria, I:None;  Artola, X:None;  Ezeiza, N:None;  Sarasola, K:None",https://doi.org/10.1093/llc/12.1.31,LLC
41,41,llc-41,Le Traitement des Corpus Textuels à I'lnstitut National de la Langue Française (CNRS),1997,EVELINE MARTIN,"MARTIN, EVELINE:Institut National de la Langue Française  Paris, France",https://doi.org/10.1093/llc/12.1.37,LLC
42,42,llc-42,Progress in Dialectometry: Toward Explanation,2006,John Nerbonne; William Kretzschmar,"Nerbonne, John:University of Groningen, 9700 AS Groningen, The Netherlands;  Kretzschmar, William:University of Georgia, Athens, Georgia 30602, USA",https://doi.org/10.1093/llc/fql034,LLC
43,43,llc-43,Mutual Comprehensibility of Written Afrikaans and Dutch: Symmetrical or Asymmetrical?,2006,Charlotte Gooskens; Renée van Bezooijen,"Gooskens, Charlotte:Department of Scandinavian Studies, University of Groningen, Groningen, The Netherlands;  van Bezooijen, Renée:Department of Linguistics, Radboud University Nijmegen, Nijmegen, The Netherlands",https://doi.org/10.1093/llc/fql036,LLC
44,44,llc-44,"Database Design and Technical Solutions for the Management, Calculation, and Visualization of Dialect Mass Data",2006,Edgar Haimerl,"Haimerl, Edgar:Salzburg University, Dialectometry Project",https://doi.org/10.1093/llc/fql037,LLC
45,45,llc-45,"The Relative Contribution of Pronunciational, Lexical, and Prosodic Differences to the Perceived Distances between Norwegian Dialects",2006,Charlotte Gooskens; Wilbert Heeringa,"Gooskens, Charlotte:Scandinavian Languages and Cultures, University of Groningen, Groningen, The Netherlands;  Heeringa, Wilbert:Humanities Computing, University of Groningen, Groningen, The Netherlands",https://doi.org/10.1093/llc/fql038,LLC
46,46,llc-46,The effect of author set size and data size in authorship attribution,2010,Kim Luyckx; Walter Daelemans,"Luyckx, Kim:CLiPS Computational Linguistics Group, University of Antwerp, Belgium;  Daelemans, Walter:CLiPS Computational Linguistics Group, University of Antwerp, Belgium",https://doi.org/10.1093/llc/fqq013,LLC
47,47,llc-47,North American English Vowels: A Factor-analytic Perspective,2006,Cynthia G. Clopper; John C. Paolillo,"Clopper, Cynthia G.:Indiana University, Bloomington, IN 47405, USA;  Paolillo, John C.:Indiana University, Bloomington, IN 47405, USA",https://doi.org/10.1093/llc/fql039,LLC
48,48,llc-48,To What Extent are Surnames Words? Comparing Geographic Patterns of Surname and Dialect Variation in the Netherlands,2006,Franz Manni; Wilbert Heeringa; John Nerbonne,"Manni, Franz:UMR 5145 CNRS, Musée de l'Homme MNHN, Paris, France;  Heeringa, Wilbert:Alfa-Informatica, Faculty of Arts, University of Groningen, The Netherlands;  Nerbonne, John:Alfa-Informatica, Faculty of Arts, University of Groningen, The Netherlands",https://doi.org/10.1093/llc/fql040,LLC
49,49,llc-49,Mesure et dynamique interlocture en Analyse Relationnelle Informatique des Textes,1991,VÉRONIQUE HUYNH-ARMANET; FRANISCO JAVIER SANCHEZ PEREZ,"HUYNH-ARMANET, VÉRONIQUE:Responsable-Directeur de Recherche du Laboratoire ART;  JAVIER SANCHEZ PEREZ, FRANISCO:Co-Responsable du Laboratoire ARIT    Laboratorie d'Analyse Relationnelle Informatique des Textes (ARIT), Universite de Paris. VIII (France)",https://doi.org/10.1093/llc/6.2.104,LLC
50,50,llc-50,INTEXT/PC: A Program package for the Analysis of Texts in the Humanities and Social Sciences,1991,HARALD KLEIN,"KLEIN, HARALD:None",https://doi.org/10.1093/llc/6.2.108,LLC
51,51,llc-51,Project Otfrid Natural Language processing in practical setting1,1991,S. CLAUSING,"CLAUSING, S.:Yale University  USA",https://doi.org/10.1093/llc/6.2.112,LLC
52,52,llc-52,A Planning Mechanism for Generating Story Text,1991,TONY C. SMITH; IAN H. WITTEN,"SMITH, TONY C.:Knowledge Science Laboratory, University of Calgary  Canada;  WITTEN, IAN H.:Knowledge Science Laboratory, University of Calgary  Canada",https://doi.org/10.1093/llc/6.2.119,LLC
53,53,llc-53,Computers in the Humanities: Methods and Applications in the Study of English Literature1,1991,THOMAS N. CORNS,"CORNS, THOMAS N.:University of Wales  Bangor, UK",https://doi.org/10.1093/llc/6.2.127,LLC
54,54,llc-54,The New Humanities Workstation,1991,JOHN P. G. ROPER,"ROPER, JOHN P. G.:University of East Anglia  UK",https://doi.org/10.1093/llc/6.2.131,LLC
55,55,llc-55,Diary,1991,NA,NA,https://doi.org/10.1093/llc/6.2.134,LLC
56,56,llc-56,News and Notes,1991,NA,NA,https://doi.org/10.1093/llc/6.2.139,LLC
57,57,llc-57,Documents Received,1991,NA,NA,https://doi.org/10.1093/llc/6.2.142,LLC
58,58,llc-58,Book Reviews,1991,Katie Wales,"Wales, Katie:English Department, Royal Holloway and Bedford New College, University of London",https://doi.org/10.1093/llc/6.2.143,LLC
59,59,llc-59,Book Reviews,1991,M Juillard,"Juillard, M:University of Nice-Sophia Antipolis",https://doi.org/10.1093/llc/6.2.144,LLC
60,60,llc-60,Obituary: Sidney Michaelson,1991,Thomas B. Horton,"Horton, Thomas B.:Florida Atlantic University",https://doi.org/10.1093/llc/6.2.146,LLC
61,61,llc-61,Announcement,1991,NA,NA,https://doi.org/10.1093/llc/6.2.147,LLC
62,62,llc-62,Extensive Acquisition of Syntactic Knowledge in NLP Systems,1991,GIORGIO MAROTTA; MARIA TERESA PAZIENZA; FRANCO PETTINELLI; PAOLA VELARDI,"MAROTTA, GIORGIO:Database Informatica  Roma, Italy;  PAZIENZA, MARIA TERESA:Dipartimento di Elettronica  Universita di Roma II, Italy;  PETTINELLI, FRANCO:lstituto d‘Informatica ,University di Ancona  Italy;  VELARDI, PAOLA:lstituto d‘Informatica ,University di Ancona  Italy",https://doi.org/10.1093/llc/6.2.79,LLC
63,63,llc-63,Philobiblion: Problems and Solutions in a Relational Database of Medieval Texts,1991,CHARLES B. FAULHABER,"FAULHABER, CHARLES B.:University of California  Berkeley, USA",https://doi.org/10.1093/llc/6.2.89,LLC
64,64,llc-64,Semantic Analysis and Fictive Worlds in Ford and Conrad,1991,C. RUTH SABOL,"SABOL, C. RUTH:West Chester University  USA",https://doi.org/10.1093/llc/6.2.97,LLC
65,65,llc-65,Identifying Linguistic Structure in Aggregate Comparison,2006,John Nerbonne,"Nerbonne, John:Rijksuniversiteit Groningen, 9700 AS Groningen, The Netherlands",https://doi.org/10.1093/llc/fql041,LLC
66,66,llc-66,Lexical bundles and German bibles,2010,Nathan Shrefler,"Shrefler, Nathan:None",https://doi.org/10.1093/llc/fqq014,LLC
67,67,llc-67,Computerized Scansion of Ancient Greek Hexameter,2010,Evangelos C. Papakitsos,"Papakitsos, Evangelos C.:General Department of Mathematics, Technological Educational Institute of Piraeus, Aigaleo, Greece",https://doi.org/10.1093/llc/fqq015,LLC
68,68,llc-68,Recent Advances in Salzburg Dialectometry,2006,Hans Goebl,"Goebl, Hans:Department of Romance Philology, University of Salzburg, Austria",https://doi.org/10.1093/llc/fql042,LLC
69,69,llc-69,"Comparing nearly identical treaty texts: a note on the Treaty of Fort Laramie with Sioux, etc., 1851 and Levenshtein’s edit distance metric",2010,Charles D. Bernholz; Brian L. Pytlik Zillig,"Bernholz, Charles D.:Love Memorial Library, University of Nebraska, Lincoln, NE 68588, USA;  Pytlik Zillig, Brian L.:Love Memorial Library, University of Nebraska, Lincoln, NE 68588, USA",https://doi.org/10.1093/llc/fqq016,LLC
70,70,llc-70,Measuring Syntactic Variation in Dutch Dialects,2006,Marco René Spruit,"Spruit, Marco René:Meertens Instituut, Joan Muyskenweg 25, Postbus 94264, 1090 GG Amsterdam, The Netherlands",https://doi.org/10.1093/llc/fql043,LLC
71,71,llc-71,Automatically Extracting Typical Syntactic Differences from Corpora,2010,Wybo Wiersma; John Nerbonne; Timo Lauttamus,"Wiersma, Wybo:King's College London;  Nerbonne, John:University of Groningen;  Lauttamus, Timo:University of Oulu",https://doi.org/10.1093/llc/fqq017,LLC
72,72,llc-72,3D Shape. Its Unique Place in Visual Perception.Zygmunt Pizlo.,2010,Michael Bender,"Bender, Michael:Universität Trier",https://doi.org/10.1093/llc/fqq025,LLC
73,73,llc-73,Visualization as a research tool for dialect geography using a geo-browser,2010,Folkert de Vriend; Lou Boves; Roeland van Hout; Jos Swanenberg,"de Vriend, Folkert:Radboud University, Centre for Language and Speech Technology, Nijmegen, The Netherlands;  Boves, Lou:Radboud University, Centre for Language and Speech Technology, Nijmegen, The Netherlands;  van Hout, Roeland:Radboud University, Centre for Language Studies, Nijmegen, The Netherlands;  Swanenberg, Jos:Tilburg University, Department of Culture Studies, Tilburg, The Netherlands",https://doi.org/10.1093/llc/fqq027,LLC
74,74,llc-74,"The Regressive Imagery Dictionary: A test of its concurrent validity in English, German, Latin, and Portuguese",2010,Andrew Wilson,"Wilson, Andrew:Department of Linguistics and English Language, County South, Lancaster University, Lancaster LA1 4YL, UK",https://doi.org/10.1093/llc/fqq028,LLC
75,75,llc-75,Extended nearest shrunken centroid classification: A new method for open-set authorship attribution of texts of varying sizes,2011,G. Bruce Schaalje; Paul J. Fields; Matthew Roper; Gregory L. Snow,"Schaalje, G. Bruce:Department of Statistics, Brigham Young University, Provo, UT, USA;  Fields, Paul J.:Department of Statistics, Brigham Young University, Provo, UT, USA;  Roper, Matthew:Neal A. Maxwell Institute for Religious Scholarship, Brigham Young University, Provo, UT, USA;  Snow, Gregory L.:Statistical Data Center, LDS Hospital Intermountain Health Care, Salt Lake City, UT, USA",https://doi.org/10.1093/llc/fqq029,LLC
76,76,llc-76,Editorial,2011,Edward Vanhoutte,"Vanhoutte, Edward:Centre for Scholarly Editing and Document Studies, Royal Academy of Dutch Language and Literature, Belgium",https://doi.org/10.1093/llc/fqr002,LLC
77,77,llc-77,Editorial,2011,Marilyn Deegan,"Deegan, Marilyn:Centre for Computing in the Humanities King’s College London",https://doi.org/10.1093/llc/fqr003,LLC
78,78,llc-78,Corpus-Concordance-Database-VARBRUL',1994,JOHN M. KIRK,"KIRK, JOHN M.:The Queen's University of Belfast  Northern Ireland",https://doi.org/10.1093/llc/9.4.259,LLC
79,79,llc-79,"Joaquin's Joaquinesquerie, Joaquinesquerie's Joaquin: A Statistical Expression of a Filipino Writer's Style",1994,JOSÉ NILO G. BINONGO,"BINONGO, JOSÉ NILO G.:Fukuoka International School  Japan",https://doi.org/10.1093/llc/9.4.267,LLC
80,80,llc-80,The Contextual Analysis of Chinese Sentences with Punctuation Marks,1994,HSIN-HSI CHEN,"CHEN, HSIN-HSI:Department of Computer Science and Information Engineering, National Taiwan University  Republic of China",https://doi.org/10.1093/llc/9.4.281,LLC
81,81,llc-81,Development of a Linguistic Automaton on the Basis of Statistics of Speech,1994,R. G. PIOTROWSKI; YURI TAMBOVTSEV,"PIOTROWSKI, R. G.:St-Peterburg Pedagogical Gertsen University  St-Peterburg, Russia;  TAMBOVTSEV, YURI:Lviv Lesotechnical University  Ukraine",https://doi.org/10.1093/llc/9.4.291,LLC
82,82,llc-82,Automated Text Analysis: Cautionary Tales,1994,C. N. BALL,"BALL, C. N.:Georgetown University  Washington, USA",https://doi.org/10.1093/llc/9.4.295,LLC
83,83,llc-83,"L‘lnformatique et les Humanités. Bibliographie 1989–1993, d'après quelques périodiques spécialises",1994,René PELLEN; Jacques PRADINES,"PELLEN, René:Professeur à I‘Université de Poitiers  C. N.R.S. U. R.A. 998;  PRADINES, Jacques:Conservateur à la Bibliothèeque Univèrsitaire de Poitiers",https://doi.org/10.1093/llc/9.4.303,LLC
84,84,llc-84,Reports from Colloquia at Tübingen,1994,D. Kottke,"Kottke, D.:None",https://doi.org/10.1093/llc/9.4.317,LLC
85,85,llc-85,"Minutes of the Annual General Meeting of the Association for Literary and Linguistic Computing, held at the Sorbonne, Paris, on Wednesday, 20 April 1994",1994,Thomas Corns,"Corns, Thomas:ALLC Secretary, School of English and Linguistics, University of North Wales, Bangor, Gwynedd LL57 2DG  UK",https://doi.org/10.1093/llc/9.4.324,LLC
86,86,llc-86,Chairman's Report,1994,SUSAN HOCKEY,"HOCKEY, SUSAN:Rutgers and Princeton Universities",https://doi.org/10.1093/llc/9.4.325,LLC
87,87,llc-87,Financial year 1 January 1993 to 31 December 1993,1994,J. P. G. Roper,"Roper, J. P. G.:May 1994",https://doi.org/10.1093/llc/9.4.326,LLC
88,88,llc-88,Editor's Report,1994,GORDON DIXON,"DIXON, GORDON:Institute of Advanced Studies, Manchester Metropolitan University  UK",https://doi.org/10.1093/llc/9.4.328,LLC
89,89,llc-89,Diary,1994,NA,NA,https://doi.org/10.1093/llc/9.4.331,LLC
90,90,llc-90,Documents Received,1994,NA,NA,https://doi.org/10.1093/llc/9.4.333,LLC
91,91,llc-91,News and Notes,1994,Stuart Lee,"Lee, Stuart:HUMBUL Editor, 1991-1994",https://doi.org/10.1093/llc/9.4.334,LLC
92,92,llc-92,Notes on Contributorss,1994,NA,NA,https://doi.org/10.1093/llc/9.4.336,LLC
93,93,llc-93,A Complete and Comprehensive System for Modern Greek Language Processing Proposed as a Modern Greek Language Call Method Developer,2002,S. D. Baldzis; E. Eumeridou; S.A. Kolalas,"Baldzis, S. D.:None;  Eumeridou, E.:None;  Kolalas, S.A.:None",https://doi.org/10.1093/llc/17.4.373,LLC
94,94,llc-94,Automatically Categorizing Written Texts by Author Gender,2002,Moshe Koppel; Shlomo Argamon; Anat Rachel Shimoni,"Koppel, Moshe:None;  Argamon, Shlomo:None;  Shimoni, Anat Rachel:None",https://doi.org/10.1093/llc/17.4.401,LLC
95,95,llc-95,Developing Conceptual Glossaries for the Latin Vulgate Bible,2002,Andrew Wilson,"Wilson, Andrew:None",https://doi.org/10.1093/llc/17.4.413,LLC
96,96,llc-96,Web‐based Dictionaries for Languages of the South‐west USA,2002,Sonya Bird; Michael Hammond; Maria Amarillas; Melody Jeffcoat; Heidi Harley; Mizuki Miyashita; Laura Moll; Mary Ann Willie; Ofelia Zepeda,"Bird, Sonya:None;  Hammond, Michael:None;  Amarillas, Maria:None;  Jeffcoat, Melody:None;  Harley, Heidi:None;  Miyashita, Mizuki:None;  Moll, Laura:None;  Willie, Mary Ann:None;  Zepeda, Ofelia:None",https://doi.org/10.1093/llc/17.4.427,LLC
97,97,llc-97,"Interpolations, Pseudographs, and the New Testament Epistles",2002,George K. Barr,"Barr, George K.:None",https://doi.org/10.1093/llc/17.4.439,LLC
98,98,llc-98,An SDRT Approach to the Temporal Structure of Modern Greek Narrative Texts,2002,Eleni Galiotou,"Galiotou, Eleni:None",https://doi.org/10.1093/llc/17.4.457,LLC
99,99,llc-99,Modelling a Morpheme‐based Lexicon for Modern Greek,2002,E. Papakitsos; M. Grigoriadou; G. Philokyprou,"Papakitsos, E.:None;  Grigoriadou, M.:None;  Philokyprou, G.:None",https://doi.org/10.1093/llc/17.4.475,LLC
100,100,llc-100,‘Pioneers! O Pioneers!’: Lessons in Electronic Editing from Stijn Streuvels's De teleurgang van den Waterhoek,2002,Daniel Paul O'Donnell,"O'Donnell, Daniel Paul:None",https://doi.org/10.1093/llc/17.4.491,LLC
101,101,llc-101,"CD‐Rom Georgian Cities: La ville en Grande‐Bretagne au siècle des Lumières: Bath, Edimbourg et Londres",2002,Patricia Whatley; Charles McKean,"Whatley, Patricia:None;  McKean, Charles:None",https://doi.org/10.1093/llc/17.4.497,LLC
102,102,llc-102,Radiant Textuality: Literature after the World Wide Web,2002,Dirk Van Hulle,"Van Hulle, Dirk:None",https://doi.org/10.1093/llc/17.4.498,LLC
103,103,llc-103,A Computer Model of Sound Change: an Example from Old Church Slavic,1988,LARS BORIN,"BORIN, LARS:Uppsala University  Sweden",https://doi.org/10.1093/llc/3.2.105,LLC
104,104,llc-104,Specialist Dictionaries in Electronic Form,1988,M. A. HEATHER; B. N. ROSSITER,"HEATHER, M. A.:Newcastle Upon Tyne  England;  ROSSITER, B. N.:Newcastle Upon Tyne  England",https://doi.org/10.1093/llc/3.2.109,LLC
105,105,llc-105,Stylistics from Mainframe to Microcomputer,1988,L. T. MILIC,"MILIC, L. T.:Cleveland State University  USA",https://doi.org/10.1093/llc/3.2.122,LLC
106,106,llc-106,As the Leaves Grow on the Tree: A New Way to Analyse Liguistic Data,1988,M. M. A. JUILLARD; N. X. LUONG,"JUILLARD, M. M. A.:Institut National de la Language Française (C.N.R.S.)  Nice, France;  LUONG, N. X.:Institut National de la Language Française (C.N.R.S.)  Nice, France",https://doi.org/10.1093/llc/3.2.125,LLC
107,107,llc-107,Report of Workshop on Text Encoding Guidelines,1988,L. D. BURNARD,"BURNARD, L. D.:Oxford University  UK",https://doi.org/10.1093/llc/3.2.131,LLC
108,108,llc-108,Diary,1988,NA,NA,https://doi.org/10.1093/llc/3.2.134,LLC
109,109,llc-109,News and Notes,1988,NA,NA,https://doi.org/10.1093/llc/3.2.136,LLC
110,110,llc-110,Book Review,1988,F. Knowles,"Knowles, F.:Aston University",https://doi.org/10.1093/llc/3.2.141-a,LLC
111,111,llc-111,Book Reviews,1988,F. Knowles,"Knowles, F.:Aston University",https://doi.org/10.1093/llc/3.2.141-b,LLC
112,112,llc-112,Book Reviews,1988,Sebastian Rahtz,"Rahtz, Sebastian:Department of Electronics and Computer Science University of Southampton",https://doi.org/10.1093/llc/3.2.142,LLC
113,113,llc-113,Book Reviews,1988,F. Knowles,"Knowles, F.:Aston University",https://doi.org/10.1093/llc/3.2.143,LLC
114,114,llc-114,Book Reviews,1988,Ian Press,"Press, Ian:Queen Mary College",https://doi.org/10.1093/llc/3.2.144,LLC
115,115,llc-115,Eurotra: The Machine Translation Project of the European Communities,1988,B. MAEGAARD,"MAEGAARD, B.:University of Copenhagen  Denmark",https://doi.org/10.1093/llc/3.2.61,LLC
116,116,llc-116,An Interactive System for Tagging Dialogues,1988,L. AHRENBERG; A. JONSSON,"AHRENBERG, L.:Linkoping University  Sweden;  JONSSON, A.:Linkoping University  Sweden",https://doi.org/10.1093/llc/3.2.66,LLC
117,117,llc-117,The automatic induction of morphological rules,1988,RON BRASINGTON; STEVE JONES; COLIN BIGGS,"BRASINGTON, RON:University of Reading  UK.;  JONES, STEVE:University of Reading  UK.;  BIGGS, COLIN:University of Reading  UK.",https://doi.org/10.1093/llc/3.2.71,LLC
118,118,llc-118,Hugocentric Tendencies or Can One Approach Hugo Counting Words?,1988,ETIENNE BRUNET,"BRUNET, ETIENNE:Institut National de la langue française (CNRS)",https://doi.org/10.1093/llc/3.2.79,LLC
119,119,llc-119,Tracing Turns in the London-Lund Corpus with Beta Text,1988,BENNY BRODDA,"BRODDA, BENNY:University of Stockholm  Sweden",https://doi.org/10.1093/llc/3.2.94,LLC
120,120,llc-120,Editorial,2000,P Baker; T McEnery; N Ostler,"Baker, P:None;  McEnery, T:None;  Ostler, N:None",https://doi.org/10.1093/llc/15.4.401,LLC
121,121,llc-121,A new agenda for corpus linguistics - working with all of the world's languages,2000,T McEnery; N Ostler,"McEnery, T:None;  Ostler, N:None",https://doi.org/10.1093/llc/15.4.403,LLC
122,122,llc-122,The construction of a corpus of spoken Sylheti,2000,P Baker; M Lie; T McEnery; M Sebba,"Baker, P:None;  Lie, M:None;  McEnery, T:None;  Sebba, M:None",https://doi.org/10.1093/llc/15.4.421,LLC
